Id,English,Hindi
44996,Nectar,"पराग, रस"
44997,Needed,"ज्ॅअरूरी, आवश्यक"
44998,Needful,ज्ॅअरूरी
44999,Needlessly,अनावश्यक रूप से
45000,Needlewoman,दर्जिन
45001,Needlework,सूची शिल्प
45002,Nefarious,जघन्य
45003,Negate,"नकारना, बे-असर करना"
45004,Negation,"प्रतिवाद, असहमति"
45005,Negatively,"ऋणात्मक ढंग से, गलत तरीके से"
45006,Neglected,उपेक्षित
45007,Neglectful,"लापरवाह, असावधान"
45008,Neglect,"उपेक्षा करना, उपेक्षा"
45009,Negligee,ढीला गाउन
45010,Negligent,बेपरवाह
45011,Negligible,"नगण्य, तुच्छ"
45012,Negotiant,वार्ताकार
45013,Negotiator,वार्ताकार
45014,Negress,"नीग्रो महिला, नीग्रो लड़की"
45015,Negro,"नीग्रो, नीग्रो संबंधी"
45016,Negroid,नीग्रो
45017,Spirituality,"चर्च की संपत्ति, आध्यात्मिकता"
45018,NE,उत्तर-पूर्व
45019,Neoclassic,ग्रीक-रोमन कला पर आधारित
45020,Neoclassical,ग्रीक-रोमन कला पर आधारित
45021,Neocolonialism,नव्य-उपनिवेशवाद
45022,Neolithic,"नवपाषाण युग, नवपाषाण युगीन"
45023,Neolithic Age,नवपाषाण युग
45024,Neologism,नवनिर्मित प्रयोग
45025,Nephritic,गुरदे का
45026,Nepotism,भाई-भतीजावाद
45027,Nerve center,मुख्य केंद्र
45028,Nerveless,"शक्तिहीन, साहसी"
45029,Nervously,"घबराए हुए अंदाझ्ॅअ में, उत्तेजित आकुलता सेम्"
45030,Nervousness,"तनाव, अधीरता, घबराहट"
45031,Nervous system,तंत्रिका तंत्र
45032,Nervy,"ढीठ, घबराया हुआ"
45033,Nestle,"बसा होना, चिपट जाना, लिपटा लेना"
45034,Netball,नेटबॉल
45035,Netcasting,तंत्र-प्रसारण
45036,Netting,जाली
45037,Nettled,चिढ़ा हुआ
45038,Nettle,"चिढ़ होना, नाराज़ कर देना, बिच्छू-बूटी"
45039,Nettlesome,चिड़चिड़ा
45040,Networked,"प्रसार-तंत्र से जुड़ा, प्रसारित होने वाला"
45041,Networking,तंत्र-व्यवस्था
45042,Neuralgic,तंत्रिकाशूल संबंधी
45043,Neuritis,तंत्रिका-शोथ
45044,Neurological,तंत्रिका संबंधी
45045,Neurologist,तंत्रिका-विज्ञानी
45046,Neurology,तंत्रिका-विज्ञान
45047,Neurotic,"विक्षिप्त व्यक्ति, तंत्रिका रोग से ग्रस्त, पागल"
45048,Neurotically,विक्षिप्ततापूर्वक
45049,Neuroticism,तंत्रिका रोग
45050,Neutral,"तटस्थ राष्ट्र, तटस्थ, बलशून्य"
45051,Neutrality,तटस्थता
45052,Neutrally,"निष्क्रियतापूर्वक, तटस्थ भाव से"
45053,Nevermore,फिर कभी नहीं
45054,Newborn baby,नवजात शिशु
45055,Newborn infant,नवजात शिशु
45056,New born,नवजात शिशु
45057,Newborn,नवजात शिशु
45058,Newcastle,न्यूकासिल
45059,Newcomer,नवागंतुक
45060,Newel,"घुमावदार सीढ़ी का मध्यस्तंभ, सोपान-स्तंभ"
45061,Newel post,सोपान-स्तंभ
45062,Newfangled,आधुनिक
45063,Newness,नयापन
45064,News bulletin,समाचार बुलेटिन
45065,Newscaster,समाचारवाचक
45066,Newscast,समाचार प्रसारण
45067,Newsletter,सूचना-पत्र
45068,News sheet,सूचनापत्र
45069,Newspaper shop,अखबार की दुकान
45070,Newsprint,अखबारी कागज
45071,Newsreader,समाचार-वाचक
45072,Newsreel,समाचार-फ़िल्म
45073,News room,संआचार-कक्ष
45074,Newssheet,सूचना-पत्र
45075,Newsworthy,छापने योग्य
45076,Newsy,"खबरों से भरपूर, गप्पी"
45077,Newt,सरटिका
45078,Nexus,"शृंखलित समूह, बंधन"
45079,NFL,एन एफ़ एल
45080,Nib,निब
45081,Nicety,"औचित्य, बारिकी"
45082,Nifty,"कौशलपूर्ण, उपयोगी, बढ़िया"
45083,Nigga,हब्शी
45084,Niggardly,"थोड़ा सा, कृपण"
45085,Nigger,हब्शी
45086,Niggle,"बाल की खाल निकालना, नुक्ताचीनी करना, परेशान करना, शुबहा, शिकायत, टीस"
45087,Niggling,"महत्वहीन, रह-रह कर उठने वाला"
45088,Night blind,निशांध
45089,Nightcap,"रात्रि पेय, शयन टोपी"
45090,Nightclub,नाइटक्लब
45091,Nightly,"हर रात, रात्रिकालीन"
45092,Nightmare,"भयावह अनुभव, दुःस्वप्न"
45093,Nightmarish,भयावह
45094,Nights,रात में
45095,Night safe,रात्रिकालीन तिजोरी
45096,Night school,रात्रि-पाठशाला
45097,Nightshirt,नाइटशर्ट
45098,Night time,रात्रिकालीन
45099,Nighttime,"निशा काल, रात्रिकालीन"
45100,Night watch,रात का पहरा
45101,Night watch,रात का पहरा
45102,Nigra,हब्शी
45103,Nihilistic,"शून्यवादी, नाशवादी, नकारवादी"
45104,Nihilist,"नकारवादी, शून्यवादी, नाशवादी"
45105,Nimble,"फ़ुर्तीला, कुशाग्रआ"
45106,Nimbly,फ़ुर्ती से
45107,Nimbus cloud,वर्षामेघ
45108,Nimbus,"प्रभामंडल, वर्षामेघ"
45109,Ninepin,स्किटल
45110,Nipper,बच्चा
45111,Nippy,तेज़
45112,NirASAjanaka,निरुत्साहित
45113,Nirvana,"स्वर्ग, निर्वाण"
45114,Nit,"मूर्ख, लीख"
45115,Nitroglycerine,नाइट्रोग्लिसरीन
45116,Prodigy,"पूर्वसंकेत, चमत्कार, पूर्वसूचना, विलक्षण प्रतिभासंपन्न व्यक्ति"
45117,Rite,"धार्मिक संस्कार, रिवाज़, धार्मिक रिवाज"
45118,Calvinism,कैल्विनवाद
45119,Citric acid,सिट्रिक ऐसिड
45120,Cafe,कैफ़े
45121,Peeress,अभिजात-वर्ग की महिला
45122,Nobly,उदारता के साथ
45123,Nob,अभिजात वर्ग का व्यक्ति
45124,No comment,मुझे कुछ नहीं कहना
45125,Nocturnal,"रात्रिकालीन, निशाचर"
45126,Nodule,ग्रंथिका
45127,Noel,क्रिसमस
45128,Noiseless,निश्शब्द
45129,Noiselessly,बिना आवाज़ किये
45130,Noisily,शोर-शराबे के साथ
45131,Noisome,"बदबूदार, बहुत गंदा"
45132,Nomad,खानाबदोश
45133,Nomenclature,पारिभाषिक शब्दावली
45134,Nominalism,नामवाद
45135,Nominalistic,नामवादी
45136,Nominalist,नामवादी
45137,Nominality,संज्ञात्मकता
45138,Nominally,नाम के लिये
45139,Nominator,प्रस्तावक
45140,Nominee,"मनोनीत व्यक्ति, नामांकित व्यक्ति"
45141,Nomineeship,नामांकन
45142,Nonagenarian,"नब्बे से निन्यान्वे वर्ष के बीच की उम्र का व्यक्ति, नब्बे से निन्यान्वे वर्ष के बीच की उम्र का"
45143,Nonchalance,उदासीनता
45144,Nonchalant,उदासीन
45145,Nonchalantly,उदासीनता से
45146,Noncommittal,बताने के लिये अनिच्छुक
45147,Nonconformism,परंपरा  विरोध
45148,Nondescript,साधारण
45149,Nondisposable,दुबारा इस्तेमाल के योग्य
45150,Nonentity,तुच्छ व्यक्ति
45151,Non observance,अपालन
45152,Nonplussed,स्तंभित
45153,Nonplus,"हैरान करना, उलझा देना"
45154,Nonsensically,अर्थहीन ढंग से
45155,Nook,कोना
45156,Noonday,दोपहर का
45157,Noontide,दोपहर का
45158,Noose,फंदा
45159,Nor,"और नहीं, और न"
45160,Nordic,"उत्तरी यूरोप के देशों से संबंधित, नॉर्डिक"
45161,Norman,"नॉर्मन लोगों से संबंधित, नॉर्मन शैली का"
45162,Norm,कसौटी
45163,Northampton,नॉर्थैंप्टन
45164,Northbound,उत्तर को जाने वाला
45165,Northeastern,उत्तर पुर्वि
45166,Northernmost,सुदूर उत्तरी
45167,Northmost,सुदूर उत्तरी
45168,Northward,"उत्तर में, उत्तर की ओर जाने वाला"
45169,Northwards,उत्तर में
45170,Nosebag,तोबड़ा
45171,Nosebleed,नकसीर
45172,Nosedive,"णिचे की ओर गिरना, भारी गिरावट आना, गोता, भारी गिरावट"
45173,Nosegay,छोटा-सा गुलदस्ता
45174,Nose out,भाँप लेना
45175,Nosey,ताक-झाँक करने वाला
45176,Nosiness,ताक-झाँक की आदत
45177,Nostalgia,अतीत की ललक
45178,Nostalgically,याद में आतुर हो कर
45179,Nostrum,रामबाण दवा
45180,Nosy,ताक-झाँक करने वाला
45181,Nota bene,ध्यान दीजिये
45182,Notary,लेख्य प्रमाणक
45183,Notational system,संकेत-चिह्न
45184,Notation,संकेत-चिह्न
45185,Notch,"निशान, स्तर"
45186,Notepad,नोटपैड
45187,Noteworthy,विचारणीय
45188,Noticeability,स्पष्टता
45189,Noticeable,सुस्पष्ट
45190,Noticeableness,सुस्पष्टता
45191,Noticeably,स्पष्ट रूप से
45192,Notifiable,सूचनीय
45193,Notification,अधिसूचना
45194,Notional,अनुमानित
45195,Notionally,अनुमानतः
45196,Notoriety,"बदनामी, कुख्याति"
45197,Notorious,"बदनाम, कुख्यात"
45198,Notoriously,कुख्यात रूप से
45199,Noun phrase,संज्ञासूचक वाक्यांश
45200,Nourishing,"पुष्टिकर, पोषक"
45201,Nourishment,"पोषण, पालन-पोषण"
45202,Nourish,"विकसित करना, पोषित करना"
45203,Novelette,लघु उपन्यास
45204,Novelistic,औपन्यासिक
45205,Novelist,उपन्यासकार
45206,Novella,लघु उपन्यास
45207,Noviciate,नवदीक्षा काल
45208,Novitiate,नवदीक्षा काल
45209,Nowt,कुछ नहीं
45210,Noxious,"हानिकर, बहुत अप्रिय"
45211,Nozzle,"टोंटी, नाक"
45212,NSPCC,एन एस पी सी सी
45213,Nuanced,सूक्ष्म भेद युक्त
45214,Nubile,विवाह योग्य
45215,Nudeness,नग्नावस्था
45216,Nudge,"कुहनियों से धकियाते हुए आगे बढ़ना, तक जाना, धीरे-से ले जाना, ले जाना, टहोका मारना, टहोका"
45217,Nudity,नग्नावस्था
45218,Nugatory,निरर्थक
45219,Nugget,"अंश, कच्चे सोने का डला, धातु का डला, बड़ी"
45220,Nullification,निरस्तीकरण
45221,Numb,"सुन्न हो जाना, स्तब्ध हो जाना, स्तब्ध, सुन्न"
45222,Numberless,असंख्य
45223,Numbing,जड़वत कर देने वाला
45224,Numbly,जड़वत हो कर
45225,Numbness,संवेदनशून्यता
45226,Numeracy,गणना
45227,Numeral,"अंक, संख्यावाचक"
45228,Numerate,"लिखित अंकों को बोल कर पढ़ना, सांक"
45229,Numeric,संख्यावाचक
45230,Numerically,संख्या की दृष्टि से
45231,Numinous,दैवी
45232,Numismatic,मुद्राविषयक
45233,Numismatics,मुद्राशास्त्र
45234,Nuncio,पोप का दूत
45235,Nunnery,संन्यासिनी-मठ
45236,Nun,संन्Yअसिनी
45237,Nuptial,वैवाहिक
45238,Nursemaid,आया
45239,Nurseryman,माली
45240,Nursing,परिचर्या
45241,Nutrient,"पोषक तत्व, पोषक"
45242,Nutritional,पोषण संबंधी
45243,Nutritionally,पोषण की दृष्टि से
45244,Nutritionist,आहार विज्ञ
45245,Nutritious,"पौष्टिक, पोषक"
45246,Nutritive,पोषण संबंधी
45247,Nuts about,"पर फ़िदा, पर लट्टू"
45248,Nuts,पागल
45249,Nutshell,छिलका
45250,Nuts on,"पर फ़िदा, पर लट्टू"
45251,Nutter,पागल
45252,Nutty,"काष्ठफलों के स्वाद वाला, पागल, काष्ठफलों से भरा"
45253,Nuzzle,सट जाना
45254,NW,उत्तर-पश्चिम
45255,Nyctalopia,निशांधता
45256,Nymphet,नवयुवती
45257,Nymphomaniac,कामोन्मादिनी
45258,Nymphomania,स्त्रीकामोन्माद
45259,Nympho,कामोन्मादिनी
45260,Oafish,बेवकूफ़
45261,Oaf,बेवकूफ़ आदमी
45262,Oaken,बलूती
45263,Oar,पतवार
45264,Oarsman,"नाविक, माँझी, मल्लाह"
45265,Oasis,"रमणीय स्थल, मरूद्यान, सुखद अंतराल"
45266,OAS,ओ ए एस
45267,Oath,"शपथ, सौगंध, गाली"
45268,Oats,जई
45269,Obdurate,"ज़िद्दी, कठोर"
45270,Obediently,आज्ञाकारी ढंग से
45271,Obeisance,"सम्मान, अभिवादन"
45272,Obelisk,"सूच्याकार स्तंभ, संकेत-चिह्न"
45273,OBE,ओ बी ई
45274,Obese,स्थूलकाय
45275,Objectionable,आपत्तिजनक
45276,Objectively,तटस्थ भाव से
45277,Objectivity,निष्पक्षता
45278,Objector,विरोधकर्ता
45279,Obligated,बाध्य
45280,Obligatory,"आवश्यक, अनिवार्य"
45281,Obliged,आभारी
45282,Obliging,उपकारी
45283,Obliquely,"टेढ़ा, तिरछा"
45284,Obliqueness,"तिरछापन, वक्रोक्ति"
45285,Obliquity,"कपट, तिर्यक प्रस्तुति"
45286,Obliterable,"निराकरणीय, पूरी तरह मिटाने योग्य"
45287,Obliterated,विन्ष्ट
45288,Oblivion,"गुमनामी, विस्मृति, विस्मरणावस्था"
45289,Obliviously,अनजान रह कर
45290,Obliviousness,विस्मरणावस्था
45291,Oblong,"अंडाकार आकृति, आयताकार, अंडाकार"
45292,Obloquy,"सार्वजनिक अपमान, कलंक, बदनामी"
45293,Obnoxious,"घृणित, अप्रिय"
45294,Obnoxiously,अप्रीतिकर ढघ से
45295,Obscenely,"बहुत अधिक, अश्लीलतापूर्वक"
45296,Obscenity,"अश्लील व्यवहार, अश्लील भाषा, अश्लीलता, बेशर्मी, गाली"
45297,Obscurantism,रूढ़िवाद
45298,Obscurantist,"दकियानूसी व्यक्ति, रूढ़िवादी"
45299,Obscure,"दुरूह, अज्ञात, अप्रसिद्ध, धुँधला"
45300,Obscurely,अप्रत्यक्ष रूप से
45301,Obsequies,अंतिम संस्कार
45302,Obsequious,चापलूस
45303,Obsequiously,चापलूसी भरे ढंग से
45304,Obsequiousness,चापलूसी
45305,Observable,सुस्पष्ट
45306,Observably,स्पष्ट रूप से
45307,Observance,"अनुपालन, रीति-रिवाज"
45308,Observant,"अनुपालक, चौकस"
45309,Observatory,वेधशाला
45310,Observer,"पर्यवेक्षक, प्रेक्षक"
45311,Obsessional,सनकपूर्ण
45312,Obsessionally,पागलों की तरह से
45313,Obsessive,सनकी
45314,Obsessively,पागलों की तरह से
45315,Obsess,"हरदम सोच्**अना, ग्रस्त करना"
45316,Obsolescence,पुरानी पड़ जाने की व्यवस्थाआ
45317,Obsolescent,पुराना
45318,SNP,एस एन पी
45319,Obsolete,अप्रचलित
45320,Obstetric,प्रासविक
45321,Obstetrical,प्रासविक
45322,Accoucheur,प्रसूति-विशेषज्ञ
45323,Obstetrics,प्रसूति-विज्ञान
45324,Obstinacy,ज़िद
45325,Obstinance,ज़िद
45326,Obstinately,हठपूर्वक
45327,Obstructer,विरोधी
45328,Obstructionism,प्रतिरोध-नीति
45329,Obstructionist,"प्रतिरोधवादी, विरोधी"
45330,Obstructively,प्रतिरोधात्मक ढंग से
45331,Obstructor,विरोधी
45332,Obtainable,प्राप्य
45333,Obtrude,"थोपना, दखल देना"
45334,Obtrusive,बाधक
45335,Obtrusively,बाधक रूप से
45336,Obtuse,"कुंठाग्र, अति, मूर्ख"
45337,Obtusely,मूर्खतापूर्वक
45338,Obtuseness,"भोथरापन, मंदता"
45339,Obviate,निराकरण करना
45340,Obviousness,स्पष्टता
45341,Occult arts,तंत्र-मंत्र
45342,Occupant,सवारी
45343,Occupational,व्यावसायिक
45344,Occupied,"अधिकृत, व्यस्त, व्यस्त"
45345,Occupier,"दखलदार, अधिभोक्ता"
45346,Occurrence,"उपस्थिति, घटना"
45347,Oceanic,महासागरीय
45348,Oceanographer,समुद्र-विज्ञानी
45349,Oceanography,समुद्र-विज्ञान
45350,Och,अच्छा
45351,Octagonal,अष्टभुजाकार
45352,Octagon,अष्टभुज
45353,Octane,ऑक्टेन
45354,Octangular,अष्टभुजाकार
45355,Octogenarian,अस्सीतिवर्षीय व्यक्ति
45356,Ocular,"दृक्, दृष्टि संबंधी"
45357,Oculus,आँख
45358,Oddly,"अजीब तरह से, आश्चर्यजनक रूप से"
45359,Oddment,"कपड़े का बचा हुआ अंतिम टुक्स्ड़ा, बचा हुआ टुकड़ा, अनोखी वस्तु"
45360,Ode,संबोधन-गीत
45361,Odiousness,आक्रामकता
45362,Odometer,"मीलमापी, चक्करमापी"
45363,Odorless,गंधहीन
45364,Odorous,दुर्गंधयुक्त
45365,Odourless,गंधहीन
45366,Odour,दुर्गंध
45367,Odyssey,लम्बी यात्रा
45368,OECD,ओ ई सी डी
45369,Oestrogen,एस्ट्रोजिन
45370,Oestrus,"कामोत्तेजना, कामोन्माद"
45371,Oeuvre,संपूर्ण कृतियाँआँ
45372,Off color,"फूहड़, अश्लील"
45373,Offended,अप्रसन्न
45374,Offending,उल्लंघन करने वाला
45375,Offensively,"आक्रामक रूप से, आपत्तिजनक ढंग से, अप्रिय ढंग से"
45376,Offensiveness,आक्रामकता
45377,Offhandedly,"तुरंत, रूखेपन से"
45378,Officialdom,अधिकारी-वर्ग
45379,Officialese,दफ़्तरी भाषाआ
45380,Officiate,सरकारी तौर पर काम करना
45381,Officious,दस्तंदाज़
45382,Officiously,दस्तंदाज़ी करते हुए
45383,Officiousness,दस्तंदाज़ीई
45384,Offside,"परला सिरा, दाहिनी दिशा, बाहई सीमा के पार, परले सिरे का"
45385,Offsides,"परला सिरा, दाहिनी दिशा, बाहई सीमा के पार, परले सिरे का"
45386,Offspring,"परिणाम, शावक, संतान"
45387,Oft,अक्सर
45388,Ogle,आसक्तिपूर्ण ढंग से घूरना
45389,Ogre,"राक्षस, नरभख्षी पिशाच"
45390,Oh,ओह
45391,Oilcan,तेल का डिब्बा
45392,Oilcloth,मोमजामा
45393,Oilfield,तेल-क्षेत्र
45394,Oilman,तेलवाला
45395,Oily,"चाटुकारितापूर्ण, तेलयुक्त, तेल के समान"
45396,Okra,भिंडी
45397,Olden,प्राचीन
45398,Olfactory,घ्राणेंद्रिय-विषयक
45399,Oligarchy,"अल्पतांत्रिक देश, अल्पतंत्र, अल्पतांत्रिक-अधिकारी"
45400,Olimpic,ओलिंपिया संबंधी
45401,Olympian,"ओलिंपिक देवता, ओलिंपिक खिलाड़ी, ओलिंपिया के देवताओं से संबंधित, आश्चर्यजनक, असाधारण, दिव्य, शानदार, ओलिंपिया का"
45402,Olympian god,ओलिंपिक देवता
45403,Olympic,ओलिंपिक
45404,Ombudsman,प्रशासनिक शिकायत जाँच अधिकारी
45405,Omega,ओमेगा
45406,Omelet,ऑमलेट
45407,Omelette,ऑमलेट
45408,Omen,"सगुन, पूर्वसंकेत, पूर्वसूचना"
45409,Ominous,अनिष्टसूचक
45410,Omission,"न लिया जाना, चूक"
45411,Omnibus,"कथा-संग्रह, सर्वसंग्रह कार्यक्रम, बस, बहुप्रयोजन"
45412,Omnipotence,सर्वशक्तिमत्ता
45413,Omnipotent,सर्वशक्तिमान
45414,Omnipresent,सर्वव्यापी
45415,Omniscience,सर्वज्ञता
45416,Omniscient,सर्वज्ञ
45417,Omnivorous,"सर्वग्राही, सर्वभक्षी"
45418,On bail,ज़मानत पर
45419,Oncoming,अपनी ओर आता हुआ
45420,On draught,खुले में
45421,Oneirism,दिवास्वप्न
45422,Oneness,एकात्मकता
45423,One of,में से एक
45424,Onerous,भारी
45425,On line,"ऑन-लाइन, विकासशील, नियमित रास्ते पर पड़ने वाला"
45426,Onlooker,दर्शक
45427,Onomatopoeia,"ध्वनि-अनुकरण, ध्वनि-अनुकरणात्मक शब्द"
45428,Onomatopoeic,ध्वनि अनुकरणात्मक
45429,Onomatopoetic,ध्वनि अनुकरणात्मक
45430,Onshore,"तट की ओर, समुद्र की ओर, तटवर्ती, समुद्र की तरफ़ से आने वाला"
45431,On stage,"मंच पर, मंच पर होने वाल्"
45432,Onstage,"मंच पर, मंच पर होने वाल्"
45433,Ontological,सत्ता मीमांसा संबंधी
45434,Ontology,सत्ता मीमांसा
45435,Onyx,सुलेमानी
45436,Oodles,ढेर सारा
45437,Oomph,"यौनाकर्षण, जोश"
45438,Ooze,"बहना, टपकाना, मृदुपंक, रिसाव"
45439,Oozing,"स्रावी, रिसने वाला"
45440,Oozy,"स्रावी, रिसने वाला"
45441,Opalescent,सतरंगा
45442,Opaline,सतरंगा
45443,Opaque,"अपारदर्शी, अस्पष्ट"
45444,Op art,गतिमान लगने वाली ज्यामितीय आकृतियों का शिल्प
45445,Opencast,खुली खुदाई वाल्
45446,Opener,"खोलने वाला, प्रारंभिक चरण, प्रारंभिक बल्लेबाज़"
45447,Open house,खुला निमंत्रण
45448,Opening,"मौका, मुख, छेद, उद्घाटन-समारोह, प्रारंभ, खिलना, नौकरी, खुली जगह, शुरुआत, प्रारंभिक"
45449,Openness,"खुलापन, निष्कपटता, संग्राहकता, ग्रहणशीलता, उदारता"
45450,Open University,मुक्त विश्वविद्यालय
45451,Operable,"शल्यकरणीय, व्यवहार्य, उपयोगी, इस्तेमाल करने लायक"
45452,Operatic,ओपेरा का
45453,Operetta,छोटा ओपेरा
45454,Ophthalmia,नेत्रशोथ
45455,Ophthalmitis,नेत्रशोथ
45456,Ophthalmologist,नेत्रविशेषज्ञ
45457,Opiate,अफ़ीमयुक्त मादक द्रव्य
45458,Opinionated,दुराग्रही
45459,Opinionative,दुराग्रही
45460,Opossum,ऑपोज़म
45461,Opportune,"उपयुक्त, समयोचित"
45462,Opportunely,मौके पर
45463,Opportunism,"अवसरवाद, अवसरवादिता"
45464,Opportunist,"अवसरवादी, समयानुवर्ती"
45465,Opportunistic,समयानुवर्ती
45466,Opposed,"खिलाफ़, विरोधी"
45467,Oppositional,विपक्षी
45468,Oppression,"विषाद, दमन, उत्पीड़न"
45469,Oppressive,"दमनकारी, दमघोंटू, उमसदार"
45470,Oppressively,"दमनात्मक ढंग से, उमसदार ढंग से"
45471,Oppressiveness,विषाद
45472,Oppressor,अत्याचारी
45473,Oppress,"विषादग्रस्त करना, दमन करना"
45474,Opprobrium,"कलंक, निंदा"
45475,Opthalmic,दृक्
45476,Optic,"आँख, दृक्, दृष्टि संबंधी, प्रकाश संबंधी"
45477,Optical,"दृक्, दृष्टि संबंधी, प्रकाश संबंधी"
45478,Optically,दृष्टिगत रूप से
45479,Optician,चश्मा बनाने वाला
45480,Optimal,सर्वोत्कृष्ट
45481,Optimise,"सबसे बेहतर ढंग से उपयोग में ल्ना, आशावादी होना"
45482,Optimism,आशावाद
45483,Optimistic,आशावादी
45484,Optimistically,आशावादी ढंग से
45485,Optimist,आशावादी
45486,Optimize,"सबसे बेहतर ढंग से उपयोग में ल्ना, आशावादी होना"
45487,Optional,वैकल्पिक
45488,Opt,"चुनना, का फ़ैसला करना"
45489,Opulence,समृद्धि
45490,Opulent,"समृद्ध, वैभवपूर्ण, कीमती, शानदार, भव्य"
45491,Opus,"रचना, संगीत रचना"
45492,Oracle,"देववाणी स्थल, दिव्यवक्ता, जानकार, जानकारीमय पुस्तक, देववाणी"
45493,Oracular,"देववाणी के समान, रहस्यमय"
45494,Oral,"मौखिक परीक्षा, मुख संबंधी, मौखिक"
45495,Orally,"मौखिक रूप से, मुँह से"
45496,Orangeade,संतरे का शर्बत
45497,Orangery,नारंगी वाटिका
45498,Oration,भाषण
45499,Oratorical,भाषण विषयक
45500,Oratorio,संकीर्तन
45501,Orator,वक्ता
45502,Oratory,"प्रार्थनागृह, वक्तृत्व कला"
45503,Orbital,"वर्तुल सड़क, नेत्रगुहा सम्बंधी, कक्षीय, परिक्रमा पथ सम्बंधी"
45504,Orbital cavity,नेत्रगुहा
45505,Orchestral,ऑर्केस्ट्रा का
45506,Orchestration,"आयोजन, वाद्यवृंदकरण"
45507,Orchestrator,वाद्यवृंदकार
45508,Ordain,"निश्चय करना, नियुक्त करना, आज्ञा देना, आदेश देना, विधिवत् पादरी बनाना"
45509,Ordeal,"कटु अनुभव, अग्नि परीक्षा"
45510,Ordered,"तर्कसंगत, क्रमवार, सुव्यवस्थित"
45511,Orderliness,"सुव्यवस्था, नियमितता"
45512,Ordinal,"क्रमसूचक संख्या, क्रमसूचक, वर्गीय"
45513,Ordinance,"अध्यादेश, अभिषेक"
45514,Ordinand,पुरोहित बनने का इच्छुक व्यक्ति
45515,Ordinarily,सामान्यतया
45516,Ordination,अभिषेक
45517,Ordnance,"अस्त्र-शस्त्र, युद्ध सामग्री"
45518,Ordnance stores,युद्ध सामग्री विभाग
45519,Ordnance Survey,आयुध शाखा
45520,Ordure,मल
45521,Ore,अयस्क
45522,Organic,"जैविक खाद, कायिक, जैव, मूलभूत, कार्बनिक"
45523,Organically,"जैविक रूप से, संघटित रूप से, कार्बनिक रूप से"
45524,Organised,"व्यवस्थित, संगठित, सुनियोजित"
45525,Organist,ऑर्गन वादक
45526,Orgasmic,कामोन्माद संबंधी
45527,Orgasm,कामोन्माद
45528,Orgiastic,"कामोत्तेजनात्मक, व्यभिचारपूर्ण"
45529,Orgy,"अतिरेक, व्यभिचार"
45530,Oriental,"पूर्व-वासी, पूर्वी"
45531,Orientalist,प्राच्यविद
45532,Oriental person,पूर्व-वासी
45533,Orientate,"की ओर प्रवृत्त होना, स्थिति-निर्धारण करना, अनुकूल बनाना"
45534,Orientation,"अनुकूलन, दिग्विन्यास"
45535,Orienteering,मार्ग-निर्धारण खेल
45536,Orient,"की ओर प्रवृत्त होना, स्थिति-निर्धारण करना, अनुकूल बनाना, पूर्वी गोलार्ध, पूर्वी देश"
45537,Orifice,विवर
45538,Originator,प्रवर्तक
45539,Ornamentation,सजावट
45540,Ornately,अलंकृत ढंग से
45541,Ornery,चिड़चिड़ा
45542,Ornithological,पक्षीविज्ञान-संबंधी
45543,Ornithologist,पक्षीविज्ञानी
45544,Ornithology,पक्षीविज्ञान
45545,Ornithorhynchus anatinus,प्लैटीपस
45546,Orphanage,"अनाथाश्रम, अनाथावस्था"
45547,Orphanhood,अनाथावस्था
45548,Orthodontia,दंत संशोधन
45549,Orthodontic,दंत संशोधन संबंधी
45550,Orthodontics,दंत संशोधन
45551,Orthodontist,दंत संशोधक
45552,Orthodonture,दंत संशोधन
45553,Orthodox,"परंपरागत, कट्टरपंथी, पूर्वी ईसाई संप्रदाय संबंधी"
45554,Orthodoxy,"परंपरानिष्ठा, कट्टरपंथिता"
45555,Orthogonal,आयतीय
45556,Orthography,वर्तनी
45557,Orthopaedic,विकलांग-चिकित्सा संबंधी
45558,Orthopaedics,विकलांग-विज्ञान
45559,Orthopedic,विकलांग-चिकित्सा संबंधी
45560,Orthopedical,विकलांग-चिकित्सा संबंधी
45561,Orthopedics,विकलांग-विज्ञान
45562,Oscillator,दोलक
45563,Osmanli,उस्मान वंशीय तुर्क
45564,Osmosis,"परासरण, निकट संपर्क का प्रभाव"
45565,Osmotic,परासरणी
45566,OS,ओ एस
45567,Ossification,"कट्टरपन, अस्थीभवन, अस्थिविकास, रूढ़िवादिता"
45568,Ossify,"अस्थि की तरह सख्त कर देना, अस्थि की तरह सख्त हो जाना, सख्त हो जाना, सख्त बनाना"
45569,Ostensible,"तथाकथित, प्रत्यक्ष"
45570,Ostensibly,प्रकट रूप से
45571,Ostensive,तथाकथित
45572,Ostentation,"आडंबर, आडंबर"
45573,Ostentatious,"आडंबरपूर्ण, दिखावटी, भड़कीला"
45574,Ostentatiously,भड़कीले ढंग से
45575,Ostentatiousness,"आडंबर, दिखावा"
45576,Osteopathic,अस्थिचिकित्सा संबंधी
45577,Osteopathist,अस्थिचिकित्सक
45578,Osteopath,अस्थिचिकित्सक
45579,Osteopathy,अस्थिचिकित्सा
45580,Ostler,साईस
45581,Ostracise,"बहिष्कृत करना, निष्कासित करना"
45582,Ostracism,"निष्कासन, बहिष्कार"
45583,Ostracize,"बहिष्कृत करना, निष्कासित करना"
45584,Otherness,भिन्नता
45585,Otter,ऊदबिलाव
